"","site","variable","chi_p","min_chi","df","ad","ks","samples","adjust","alpha_adjust","timeframe"
"1","0","0",0,0,0,0,0,0,0,0,"0"
"2","LUG","O3",9.62149233655186e-10,18,22,4.70522428602419,0.0513151085735809,744,NA,NA,"hourly"
"3","LUG","NO2",0.00298793045216849,30,20,1.12004093338828,0.0391144101309028,744,NA,NA,"hourly"
"4","LUG","SO2",0,32,5,137.823689542614,0.455020530854335,611,NA,NA,"hourly"
"5","LUG","CO",7.89937671997981e-99,30,11,67.3431579197268,0.206109411237123,743,NA,NA,"hourly"
"6","LUG","PM10",2.915438936732e-26,18,21,13.7000521950335,0.107784822033812,744,NA,NA,"hourly"
"7","LUG","PM2.5",3.60491143208119e-84,30,20,26.9039918937536,0.131037203854213,744,NA,NA,"hourly"
"8","LUG","NOX",0.23182270624266,23,20,0.762948689820746,0.0340744993540106,744,NA,NA,"hourly"
"9","LUG","O3",0.00274225095293327,5,3,0.484307262212543,NA,31,1.10301768990635,0.0551508844953174,"daily"
"10","RIG","O3",3.65693135577485e-11,30,21,7.97077553629629,0.0867168677219258,739,NA,NA,"hourly"
"11","RIG","NO2",9.68867098386987e-89,30,15,66.1115835196059,0.207626335154292,739,NA,NA,"hourly"
"12","RIG","SO2",0,42,3,127.339071914002,0.429393423898699,648,NA,NA,"hourly"
"13","RIG","CO",2.60049323052925e-184,22,6,129.318422188254,0.336875336441473,740,NA,NA,"hourly"
"14","RIG","PM10",1.54534375145709e-233,20,21,109.934365104136,0.269917211360159,744,NA,NA,"hourly"
"15","RIG","PM2.5",4.44290944917598e-147,30,19,91.5054179841437,0.245888885956014,744,NA,NA,"hourly"
"16","RIG","NOX",1.3525300911468e-81,30,15,63.4781875447968,0.196649110923903,739,NA,NA,"hourly"
"17","RIG","O3",0.27192239989643,5,3,0.321393831160883,NA,31,1.10301768990635,0.0551508844953174,"daily"
